,(1+p1),(1-p1),(x-z),(z+x),(z-x),expected_post,flip,p1,post-init,x,z
0,1.62,0.38,-4,36,4,20.614,0,0.62,0.6140000000000008,16,20
1,1.71,0.29,16,24,-16,4.382,0,0.71,0.3819999999999997,20,4
2,1.45,0.55,15,17,-15,2.314,0,0.45,1.314,16,1
3,1.82,0.18,-16,22,16,19.214,0,0.82,0.21399999999999864,3,19
4,1.62,0.38,-10,24,10,17.558,0,0.62,0.5579999999999998,7,17
5,1.68,0.32,0,40,0,20.496,0,0.68,0.49599999999999866,20,20
6,1.33,0.67,13,19,-13,4.936,0,0.33,1.936,16,3
7,1.3,0.7,2,6,-2,4.252,0,0.3,2.252,4,2
8,1.59,0.41,1,29,-1,14.624,0,0.59,0.6240000000000006,15,14
9,1.82,0.18,14,26,-14,6.192,0,0.82,0.19200000000000017,20,6
10,1.25,0.75,-6,32,6,22.226,0,0.25,3.225999999999999,13,19
11,1.81,0.19,-7,17,7,12.204,0,0.81,0.20400000000000063,5,12
12,1.62,0.38,8,30,-8,11.554,0,0.62,0.5540000000000003,19,11
13,1.46,0.54,-9,25,9,18.17,0,0.46,1.1700000000000017,8,17
14,1.59,0.41,6,26,-6,10.686,0,0.59,0.6859999999999999,16,10
15,1.42,0.58,12,26,-12,8.44,0,0.42,1.4399999999999995,19,7
16,1.24,0.76,8,30,-8,13.98,0,0.24,2.9800000000000004,19,11
17,1.89,0.11,-8,26,8,17.114,0,0.89,0.11400000000000077,9,17
18,1.13,0.87,9,17,-9,10.642,0,0.13,6.6419999999999995,13,4
19,1.33,0.67,-14,18,14,18.15,0,0.33,2.1499999999999986,2,16
20,1.56,0.44,-6,28,6,17.692,0,0.56,0.6920000000000002,11,17
21,1.29,0.71,1,17,-1,10.448,0,0.29,2.4480000000000004,9,8
22,1.59,0.41,-7,19,7,13.73,0,0.59,0.7300000000000004,6,13
23,1.11,0.89,2,8,-2,10.726,0,0.11,7.726000000000001,5,3
24,1.14,0.86,-9,21,9,21.362,0,0.14,6.361999999999998,6,15
25,1.08,0.92,-8,22,8,27.318,0,0.08,12.318000000000001,7,15
26,1.63,0.37,-1,27,1,14.546,0,0.63,0.5459999999999994,13,14
27,1.41,0.59,-14,22,14,19.372,0,0.41,1.3719999999999999,4,18
28,1.32,0.68,-17,21,17,21.066,0,0.32,2.065999999999999,2,19
29,1.09,0.91,-3,5,3,14.514,0,0.09,10.514,1,4
30,1.81,0.19,-6,14,6,10.242,0,0.81,0.24200000000000088,4,10
31,1.07,0.93,-2,20,2,24.618,0,0.07,13.617999999999999,9,11
32,1.49,0.51,-3,13,3,9.04,0,0.49,1.0399999999999991,5,8
33,1.71,0.29,0,22,0,11.408,0,0.71,0.4079999999999995,11,11
34,1.28,0.72,-6,34,6,22.606,0,0.28,2.6060000000000016,14,20
35,1.18,0.82,10,28,-10,13.008,0,0.18,4.007999999999999,19,9
36,1.94,0.06,-6,10,6,8.064,0,0.94,0.06400000000000006,2,8
37,1.15,0.85,-17,19,17,23.494,0,0.15,5.494,1,18
38,1.25,0.75,-13,21,13,20.07,0,0.25,3.0700000000000003,4,17
39,1.23,0.77,-15,25,15,23.208,0,0.23,3.2079999999999984,5,20
40,1.29,0.71,1,15,-1,9.4,0,0.29,2.4000000000000004,8,7
41,1.84,0.16,-2,18,2,10.168,0,0.84,0.16799999999999926,8,10
42,1.65,0.35,-13,23,13,18.57,0,0.65,0.5700000000000003,5,18
43,1.56,0.44,-11,25,11,18.776,0,0.56,0.7759999999999998,7,18
44,1.05,0.95,-13,15,13,33.778,0,0.05,19.778,1,14
45,1.59,0.41,5,21,-5,8.646,0,0.59,0.6460000000000008,13,8
46,1.61,0.39,5,31,-5,13.57,0,0.61,0.5700000000000003,18,13
47,1.31,0.69,-3,29,3,18.086,0,0.31,2.0859999999999985,13,16
48,1.18,0.82,16,24,-16,8.562,0,0.18,4.561999999999999,20,4
49,1.57,0.43,2,18,-2,8.7,0,0.57,0.6999999999999993,10,8
50,1.24,0.76,7,15,-7,7.26,0,0.24,3.26,11,4
51,1.89,0.11,13,25,-13,6.122,0,0.89,0.12199999999999989,19,6
52,1.27,0.73,-12,28,12,22.518,0,0.27,2.5180000000000007,8,20
53,1.92,0.08,-20,20,20,20.072,0,0.92,0.07199999999999918,0,20
54,1.35,0.65,-6,34,6,22.074,0,0.35,2.0740000000000016,14,20
55,1.15,0.85,1,7,-1,8.586,0,0.15,5.586,4,3
56,1.3,0.7,-3,19,3,13.494,0,0.3,2.4939999999999998,8,11
57,1.56,0.44,1,25,-1,12.812,0,0.56,0.8119999999999994,13,12
58,1.61,0.39,3,25,-3,11.628,0,0.61,0.6280000000000001,14,11
59,1.56,0.44,-16,24,16,20.828,0,0.56,0.8279999999999994,4,20
60,1.72,0.28,-4,12,4,8.37,0,0.72,0.3699999999999992,4,8
61,1.26,0.74,13,15,-13,3.8,0,0.26,2.8,14,1
